Page URL,Page Type,Primary Keyword,Search Intent,SEO Title,Meta Description,H1,Canonical,Schema Type,Status,Needs University Input
/,Home,SMRU Hyderabad,Branded,SMRU Hyderabad | St. Mary's Rehabilitation University,"Official website of St. Mary's Rehabilitation University, Hyderabad. Explore 2026 admissions, specialized rehabilitation programs, and 30 years of legacy.",St. Mary's Rehabilitation University,https://smru.edu.in/,University,Complete,No
/schools,Directory,Colleges in Hyderabad,Informational,Academic Schools & Colleges in Hyderabad | SMRU,"Explore our 7 specialized schools offering over 150 academic pathways in rehabilitation, allied health, and professional sciences in Hyderabad.",Academic Schools & Colleges,https://smru.edu.in/schools/,CollectionPage,Complete,No
/admissions,Landing,Admissions 2026,Transactional,Admissions 2026-27 | Apply to SMRU Hyderabad,"Official admissions portal for St. Mary's Rehabilitation University. Start your application for UG, PG, and PhD programs in rehabilitation sciences.",Admissions 2026-27,https://smru.edu.in/admissions/,WebPage,Complete,No
/academic-structure,Directory,University Academic Structure,Informational,Academic Schools & Departments | Institutional Structure | St. Mary's University,"Explore the academic structure of St. Mary's University Hyderabad across rehabilitation, allied health, nursing, psychology, engineering, law, and professional education.",Academic Structure,https://smru.edu.in/academic-structure/,WebPage,Complete,No
/brochure,Landing,University Prospectus,Transactional,Download Prospectus & Brochure | Admissions 2026 | St. Mary's University,"Get the official St. Mary's Rehabilitation University brochure. Detailed information on courses, campus facilities, and 2026 admission guidelines.",Prospectus & Brochure,https://smru.edu.in/brochure/,WebPage,Complete,No
/campus-360,Local,Virtual Campus Tour,Informational,Virtual Campus Tour | Cinematic Campus Experience | St. Mary's University,"Take a 360-degree virtual tour of the Hyderabad campus. Explore labs, hostel facilities, academic spaces, and campus visit guidance at St. Mary's University.",Campus 360 Virtual Tour,https://smru.edu.in/campus-360/,WebPage,Complete,No
/careers,Trust,Jobs at SMRU,Transactional,Faculty & Staff Careers | Join the St. Mary's University Academic Team,Build your academic career at St. Mary's Rehabilitation University. Explore faculty and administrative job openings in Hyderabad.,Careers & Openings,https://smru.edu.in/careers/,WebPage,Complete,No
/contact,Contact,SMRU Contact Hyderabad,Informational,Contact SMRU Hyderabad | Location & Admissions Desk,"Get in touch with St. Mary's Rehabilitation University. Campus location, admissions helpdesk, and regional headquarters details.",Contact SMRU,https://smru.edu.in/contact/,ContactPage,Complete,No
/phd-admissions,Landing,PhD Admissions 2026,Transactional,PhD Admissions 2026-27 | Doctoral Research | SMRU,"Apply for PhD admissions at St. Mary's Rehabilitation University. Research pathways in clinical psychology, physiotherapy, and rehab sciences.",PhD Admissions 2026-27,https://smru.edu.in/phd-admissions/,WebPage,Complete,No
/partner,Trust,SMRU Partners,Informational,Institutional Partners | Industry & Academic Alliances | SMRU,Explore industry and academic partner routes connected with St. Mary's Rehabilitation University and career-ready learning pathways.,Our Partners,https://smru.edu.in/partner/,WebPage,Complete,No
/bb,Trust,BlackBucks SMRU,Transactional,BlackBucks Portal | St. Mary's Rehabilitation University,Access the BlackBucks partner route published on the SMRU website.,BlackBucks Portal,https://smru.edu.in/bb/,WebPage,Complete,No
/iiat,Trust,IIAT SMRU,Transactional,IIAT Portal | St. Mary's Rehabilitation University,Access the Indian Institute of Advanced Technology partner route published on the SMRU website.,IIAT Portal,https://smru.edu.in/iiat/,WebPage,Complete,No
/niat,Trust,NIAT SMRU,Transactional,NIAT | St. Mary's Rehabilitation University,Explore the NIAT partner route published on the SMRU website.,NIAT,https://smru.edu.in/niat/,WebPage,Complete,No
/qtst,Trust,QTST SMRU,Transactional,QTST | St. Mary's Rehabilitation University,Explore the QTST partner route published on the SMRU website.,QTST,https://smru.edu.in/qtst/,WebPage,Complete,No
/niat-upskilling,Trust,NIAT Upskilling SMRU,Transactional,NIAT Upskilling | St. Mary's Rehabilitation University,Explore the NIAT Upskilling route published on the SMRU website.,NIAT Upskilling,https://smru.edu.in/niat-upskilling/,WebPage,Complete,No
/partner/edinbox,Landing,B.Sc Forensic Science SMRU,Transactional,B.Sc Forensic Science | Admissions 2026 | SMRU × AIFSET,"Explore B.Sc Forensic Science at St. Mary's Rehabilitation University through the AIFSET national entrance route, with online exam access and scholarship guidance.",B.Sc Forensic Science Admissions 2026,https://smru.edu.in/partner/edinbox/,WebPage,Complete,No
/partner/ist,Landing,B.Tech Admissions SMRU,Transactional,B.Tech Admissions 2026 | SMRU × Intellipaat School of Technology,"Apply for industry-integrated B.Tech programs in AI, Data Science, and Cyber Security. Earn a UGC-recognized degree from SMRU with Intellipaat's career transformation.",B.Tech Admissions 2026,https://smru.edu.in/partner/ist/,WebPage,Complete,No
/approvals-recognitions,Trust,SMRU UGC Status,Informational,Approvals & Recognitions | Statutory Disclosure | SMRU,"Official approvals, recognitions, and regulatory disclosure for St. Mary's Rehabilitation University. Verified compliance records.",Approvals & Recognitions,https://smru.edu.in/approvals-recognitions/,WebPage,Complete,Yes
/schools/rehabilitation-sciences,School,School of Rehabilitation Sciences,Informational,School of Rehabilitation Sciences | SMRU Hyderabad,"Leading school for BASLP, BOT, and Special Education programs. Advanced clinical labs and research-driven pedagogy.",School of Rehabilitation Sciences,https://smru.edu.in/schools/rehabilitation-sciences/,EducationalOrganization,Complete,No
/schools/law,School,Law College in Hyderabad,Informational,School of Law | SMRU Hyderabad | Integrated LLB Programs,"Explore the School of Law at SMRU Hyderabad. Offering B.A. LL.B., B.B.A. LL.B., and B.Sc. LL.B. (Hons) with specialized training in AI Regulation & Forensic Jurisprudence.",School of Law,https://smru.edu.in/schools/law/,EducationalOrganization,Complete,No
/st-marys-university,Trust,St Mary's University,Informational,St. Mary's University,"St. Mary's University is the public brand used for St. Mary's Rehabilitation University, Hyderabad, Telangana.",Brand Reference,https://smru.edu.in/st-marys-university/,WebPage,Published,No
/st-marys-rehabilitation-university,Trust,St Mary's Rehabilitation University,Informational,St. Mary's Rehabilitation University Official Name | St. Mary's University,"St. Mary's Rehabilitation University is the official/legal name of St. Mary's University, Hyderabad, Telangana.",Official Name,https://smru.edu.in/st-marys-rehabilitation-university/,WebPage,Published,No
/smru-hyderabad,Trust,St. Mary's University Hyderabad,Informational,St. Mary's University Hyderabad | SMRU,"St. Mary's University Hyderabad refers to St. Mary's Rehabilitation University, publicly known as St. Mary's University, located in Hyderabad, Telangana.",Location Reference,https://smru.edu.in/smru-hyderabad/,WebPage,Published,No
/rehabilitation-university-hyderabad,Trust,Rehabilitation University Hyderabad,Informational,Rehabilitation University Hyderabad,"Reference page for St. Mary's Rehabilitation University, Hyderabad, Telangana, publicly known as St. Mary's University.",University Reference,https://smru.edu.in/rehabilitation-university-hyderabad/,WebPage,Published,No
/smru-facts,Trust,St. Mary's University facts,Informational,St. Mary's University Facts | SMRU,"Factual reference for St. Mary's University: official website, public brand, legal name, short-name alias, location, and important public routes.",Factual Reference,https://smru.edu.in/smru-facts/,WebPage,Published,No
/ugc-disclosure,Trust,ugc disclosure,Informational,UGC Disclosure,UGC recognition and disclosure information page for St. Mary's Rehabilitation University.,UGC Status,https://smru.edu.in/ugc-disclosure/,WebPage,Published,No
/mandatory-disclosure,Trust,mandatory disclosure,Informational,Mandatory Disclosure,"Master public disclosure dashboard for St. Mary's University establishment, recognition, admissions, student support, and first university-cycle disclosure status.",Mandatory Disclosure,https://smru.edu.in/mandatory-disclosure/,AboutPage,Published,No
/statutory-disclosures,Trust,statutory disclosures,Informational,Statutory Disclosures,"Public statutory disclosure index for St. Mary's University approvals, recognition, policies, and institutional information.",Public Disclosure,https://smru.edu.in/statutory-disclosures/,AboutPage,Published,No
/first-academic-year-disclosures,Trust,first academic year disclosures,Informational,University Academic Cycle Disclosure Note,"Verified status note for first university-cycle disclosures such as alumni, placements, annual reports, audited accounts, NAAC, and NIRF outputs.",University Academic Cycle,https://smru.edu.in/first-academic-year-disclosures/,WebPage,Not Applicable - First Academic Year,Yes
/public-information,Trust,public information,Informational,Public Information,Public information desk and compliance contacts for St. Mary's University.,Public Information,https://smru.edu.in/public-information/,WebPage,Available on Official Request,Yes
/anti-ragging,Trust,anti ragging,Informational,Anti-Ragging,Anti-ragging policy and reporting status page for St. Mary's University.,Student Welfare,https://smru.edu.in/anti-ragging/,WebPage,Under Process,Yes
/grievance-redressal,Trust,grievance redressal,Informational,Grievance Redressal,Student and staff grievance redressal status page for St. Mary's University.,Student Welfare,https://smru.edu.in/grievance-redressal/,WebPage,Under Process,Yes
/ombudsperson,Trust,ombudsperson,Informational,Ombudsperson,University ombudsperson status and independent review information.,Student Welfare,https://smru.edu.in/ombudsperson/,WebPage,Under Process,Yes
/iqac-quality-assurance,Trust,iqac quality assurance,Informational,IQAC & Quality Assurance,Internal quality assurance and quality-cycle readiness status for St. Mary's University.,Quality Cycles,https://smru.edu.in/iqac-quality-assurance/,WebPage,Under Process,Yes
/academic-calendar,Trust,academic calendar,Informational,Academic Calendar,"Official academic calendar status, term dates, and exam schedule publication route.",Academics,https://smru.edu.in/academic-calendar/,WebPage,Awaiting Public Release,Yes
/faculty-directory,Trust,faculty directory,Informational,Faculty Directory,Faculty directory status and public release page for St. Mary's University academic departments.,Academics,https://smru.edu.in/faculty-directory/,WebPage,Awaiting Public Release,Yes
/contact-directory,Trust,contact directory,Informational,Contact Directory,"Official contact directory for departments, administration, admissions, and support.",Information,https://smru.edu.in/contact-directory/,WebPage,Available on Official Request,Yes
/refund-policy,Trust,refund policy,Informational,Refund Policy,Fee refund and withdrawal policy status for St. Mary's Rehabilitation University.,Fees & Policies,https://smru.edu.in/refund-policy/,WebPage,Under Process,Yes
/fee-structure,Trust,fee structure,Informational,Fee Structure,Academic fee structure information page for St. Mary's Rehabilitation University.,Fees & Policies,https://smru.edu.in/fee-structure/,WebPage,Published,No
/admission-policy,Trust,admission policy,Informational,Admission Policy,Admission policy and application guidance for St. Mary's Rehabilitation University.,Admissions,https://smru.edu.in/admission-policy/,WebPage,Under Process,Yes
/naac,Trust,naac,Informational,NAAC Quality-Cycle Readiness,NAAC quality-cycle readiness information for St. Mary's University.,Quality Cycle,https://smru.edu.in/naac/,WebPage,Not Applicable - First Academic Year,Yes
/nirf,Trust,nirf,Informational,NIRF Disclosure Status,NIRF participation and ranking-data status for the first university academic cycle at St. Mary's University.,Rankings,https://smru.edu.in/nirf/,WebPage,Not Applicable - First Academic Year,Yes
/sponsor-society,Trust,sponsor society,Informational,Sponsor Society & Legacy,Sponsor body and public legacy reference for Joseph Sriharsha & Mary Indraja Educational Society and St. Mary's University.,Sponsor Legacy,https://smru.edu.in/sponsor-society/,WebPage,Published,No
/accessibility-statement,Trust,accessibility statement,Informational,Accessibility Statement,Accessibility commitment and public feedback route for the St. Mary's University rehabilitation-led website.,Inclusion,https://smru.edu.in/accessibility-statement/,WebPage,Under Process,Yes
/research,Research,research,Informational,Research & Doctoral Disclosure,Research and doctoral disclosure status for the first university academic cycle at St. Mary's University.,Research,https://smru.edu.in/research/,WebPage,Under Process,Yes
/university-in-telangana,Trust,university in telangana,Informational,University in Telangana,State private university in Telangana with a rehabilitation-led academic focus.,Regional Excellence,https://smru.edu.in/university-in-telangana/,WebPage,Published,No
/physiotherapy-college-in-telangana,Trust,physiotherapy college in telangana,Informational,Physiotherapy Programmes in Telangana,"Public reference page for St. Mary's University physiotherapy programmes, admissions, and regulatory-status verification.",Clinical Expertise,https://smru.edu.in/physiotherapy-college-in-telangana/,WebPage,Published,No
/baslp-college-in-hyderabad,Trust,baslp college in hyderabad,Informational,BASLP Programme in Hyderabad,Public reference page for St. Mary's University BASLP and speech-hearing science admissions information.,Specialized Sciences,https://smru.edu.in/baslp-college-in-hyderabad/,WebPage,Published,No
/campus-near-ramoji-film-city,Trust,campus near ramoji film city,Informational,Campus Near Ramoji Film City,"St. Mary's University Deshmukhi Campus location guide and directions near Ramoji Film City, Hyderabad.",Location Guide,https://smru.edu.in/campus-near-ramoji-film-city/,WebPage,Published,No
/campus-location-hyderabad,Local,campus location hyderabad,Informational,Campus Location Hyderabad,"Official St. Mary's University Hyderabad campus address, map reference, and visitor location information.",Campus Location,https://smru.edu.in/campus-location-hyderabad/,Place,Published,No
/hostel,Trust,hostel,Informational,Hostel Facilities,Public hostel facility information for students at St. Mary's Rehabilitation University.,Student Life,https://smru.edu.in/hostel/,WebPage,Published,No
